AccID	log2FC	Pvalue	FDR	Style	H_3.readCount	C_3.readCount	H_3.fpkm	C_3.fpkm
Comp	2.17801135574516	0.0238892301615465	0.0438016227165073	up	10	2	0.278078784714449	0.0614498897170136
Corin	1.03540696030236	0.000280878735501184	0.000770883937851619	up	77	34	1.04171470958515	0.508229937667576
Cox6a2	-1.15173624360151	1.10589152396898e-10	5.85161682018338e-10	down	92	185	9.08957759353678	20.1953255205268
Cox8b	-1.37838199277923	0.000556334771740127	0.00145808438192965	down	17	40	3.17256995716441	8.24794075312805
Cpb1	-2.49755369375691	3.29165644268773e-08	1.43553565164112e-07	down	9	46	0.22246302777156	1.25630885643672
Cpb2	3.44104576157895	0.0263500298251758	0.0476358725551458	up	6	0	0.272920112608034	0
Cped1	-1.17148037874924	5.64773657296257e-103	2.06861672118181e-101	down	985	2008	10.902154344515	24.5563072966277
Cpne5	-1.52638637596462	4.81727654065816e-07	1.87077531073822e-06	down	28	73	0.433044973028616	1.24744407799381
Cpxm1	-1.51069906981383	6.24005707053621e-53	1.29383292797633e-51	down	266	686	7.55321215001899	21.5227329711803
Cpxm2	-1.23137958039255	0.00353902649807269	0.00794579753000851	down	16	34	0.307301701026923	0.7215179732582
Cpz	-2.01065020827874	1.92517902718062e-08	8.5766007722648e-08	down	17	62	0.508741730324805	2.05004496224742
Crem	-1.18863465943141	1.66400130330856e-30	2.12166997047471e-29	down	270	557	3.65203045792087	8.32432595035855
Crisp2	2.27112076013664	0.00337027419942482	0.00760098145760493	up	16	3	0.440369254482661	0.091230807183309
Crispld1	-2.41693523354862	1.66912243312471e-05	5.47328365422861e-05	down	6	29	0.0892808430392173	0.47679125948315
Crispld2	-1.48989866040602	0	0	down	2284	5806	35.5944972720791	99.9739958510677
Crlf1	-1.17993596194319	2.49006809873248e-20	2.24048421629869e-19	down	178	365	7.27416211732844	16.4808305194803
Crocc2	1.64925227667209	4.1274699512943e-21	3.81772533315071e-20	up	253	73	2.38327399045342	0.759800487213282
Cryaa	2.94354610210813	8.22808133664838e-07	3.13652683255153e-06	up	34	4	1.92276967100873	0.249937598579638
Cryba4	2.6634381829154	0.00265773068507586	0.00610570377799233	up	14	2	1.12240296111952	0.177163405198454
Crybg1	1.15350639223651	2.26927577679845e-43	3.91576142374221e-42	up	934	380	8.33883073986289	3.74856576421235
Crygn	-1.3365618170846	0.0329717578115801	0.0581645253380858	down	7	16	0.612352657173277	1.54648889121151
Csdc2	-1.79027978452751	2.13094923140197e-08	9.45262541093189e-08	down	23	72	0.620573570643074	2.14645205141646
Csf2rb	1.25791732930637	2.24690245203465e-81	6.65923570230879e-80	up	1559	590	20.0343530622322	8.3773078422169
Csl	3.6634381829154	0.0139923591722082	0.0273335016282257	up	7	0	0.24080227378857	0
Cst13	-4.72887923986336	0.000283697508879199	0.000777795447593601	down	0	12	0	1.13764700043145
Cst7	1.36243592688258	8.70298127341594e-09	3.97171023144724e-08	up	125	44	8.51722038374886	3.31256038360924
Cst8	-2.44972516866629	2.94116220275705e-14	1.97476217072274e-13	down	18	89	1.41771280066377	7.74513545516479
Ctla2a	-1.29369516747274	1.24427819307835e-86	3.93556829704821e-85	down	649	1440	31.7569617750693	77.8538326005386
Ctla4	1.82570961181427	1.28013695284948e-05	4.27170753711913e-05	up	47	12	1.63354382627497	0.460826488017501
Ctsg	3.44104576157895	0.0263500298251758	0.0476358725551458	up	6	0	0.40229840950306	0
Ctsk	1.61162383217409	4.04129033600333e-104	1.49788159709145e-102	up	1381	409	61.3630127569194	20.079808143032
Ctss	1.30395138534342	0	0	up	8015	2938	396.523146253235	160.597974517093
Ctsw	1.44104576157895	2.50215634508941e-25	2.70602284395811e-24	up	375	125	20.4496249148775	7.53160174291319
Cttnbp2	-1.49901169796477	1.08213976293408e-09	5.31992102512388e-09	down	43	110	0.557380837090772	1.57543147705899
Cxcl1	3.20972021547249	3.06279839599301e-17	2.39382280270616e-16	up	92	9	6.48574266905038	0.701031690454745
Cxcl10	2.87103360232377	2.86182386180554e-31	3.70676601950292e-30	up	194	24	8.57477886255272	1.17207579123399
Cxcl13	-1.55895423842105	7.55930332078186e-06	2.58410699035312e-05	down	21	56	1.22683523663237	3.61474968658829
Cxcl14	-2.29605390582195	0	0	down	807	3587	29.6756181446732	145.740706805272
Cxcl17	1.77751959166409	2.08422027658091e-82	6.2246040183272e-81	up	947	250	83.6045876011819	24.3861585999187
Cxcl2	5.92217245131557	9.60218479152302e-17	7.30273897220139e-16	up	67	1	2.4213646605324	0.0399308589446759
